id;label;chapterId
A00-A09;Enfermedades infecciosas intestinales;I
A15-A19;Tuberculosis;I
A20-A28;Ciertas zoonosis bacterianas;I
A30-A49;Otras enfermedades bacterianas;I
A50-A64;Infecciones con modo de transmisión predominantemente sexual;I
A65-A69;Otras enfermedades debidas a espiroquetas;I
A70-A74;Otras enfermedades causadas por clamidias;I
A75-A79;Rickettsiosis;I
A80-A89;Infecciones virales del sistema nervioso central;I
A92-A99;Arthropod-borne viral fevers and viral haemorrhagic fevers;I
B00-B09;Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas;I
B15-B19;Hepatitis viral;I
B20-B24;Enfermedad por virus de la inmunodeficiencia humana (VIH);I
B25-B34;Otras enfermedades virales;I
B35-B49;Micosis;I
B50-B64;Enfermedades debidas a protozoarios;I
B65-B83;Helmintiasis;I
B85-B89;Pediculosis, acariasis y otras infestaciones;I
B90-B94;Secuelas de enfermedades infecciosas y parasitarias;I
B95-B98;Bacterial, viral and other infectious agents;I
B99-B99;Otras enfermedades infecciosas;I
E00-E07;Trastornos de la glándula tiroides;IV
E10-E14;Diabetes mellitus;IV
E15-E16;Otros trastornos de la regulación de la glucosa y de la secreción interna del páncreas;IV
E20-E35;Trastornos de otras glándulas endocrinas;IV
E40-E46;Desnutrición;IV
E50-E64;Otras deficiencias nutricionales;IV
E65-E68;Obesidad y otros tipos de hiperalimentación;IV
E70-E90;Trastornos metabólicos;IV
F00-F09;Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;V
F10-F19;Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas;V
F20-F29;Esquizofrenia, trastornos esquizotípicos y trastornos delirantes;V
F30-F39;Trastornos del humor (afectivos);V
F40-F48;Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos;V
F50-F59;Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos;V
F60-F69;Trastornos de la personalidad y del comportamiento en adultos;V
F70-F79;Retraso mental;V
F80-F89;Trastornos del desarrollo psicológico;V
F90-F98;Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia;V
F99-F99;Trastorno mental no especificado;V
D50-D53;Anemias nutricionales;III
D55-D59;Anemias hemolíticas;III
D60-D64;Anemias aplásticas y otras anemias;III
D65-D69;Defectos de la coagulación, púrpura y otras afecciones hemorrágicas;III
D70-D77;Otras enfermedades de la sangre y de los órganos hematopoyéticos;III
D80-D89;Ciertos trastornos que afectan el mecanismo de la inmunidad;III
G00-G09;Enfermedades inflamatorias del sistema nervioso central;VI
G10-G14;Systemic atrophies primarily affecting the central nervous system;VI
G20-G26;Trastornos extrapiramidales y del movimiento;VI
G30-G32;Otras enfermedades degenerativas del sistema nervioso;VI
G35-G37;Enfermedades desmielinizantes del sistema nervioso central;VI
G40-G47;Trastornos episódicos y paroxísticos;VI
G50-G59;Trastornos de los nervios, de las raíces y de los plexos nerviosos;VI
G60-G64;Polineuropatías y otros trastornos del sistema nervioso periférico;VI
G70-G73;Enfermedades musculares y de la unión neuromuscular;VI
G80-G83;Parálisis cerebral y otros síndromes paralíticos;VI
G90-G99;Otros trastornos del sistema nervioso;VI
C00-C97;Tumores malignos;II
D00-D09;Tumores in situ;II
D10-D36;Tumores benignos;II
D37-D48;Tumores de comportamiento incierto o desconocido;II
H60-H62;Enfermedades del oído externo;VIII
H65-H75;Enfermedades del oído medio y de la mastoides;VIII
H80-H83;Enfermedades del oído interno;VIII
H90-H95;Otros trastornos del oído;VIII
H00-H06;Trastornos del párpado, aparato lagrimal y órbita;VII
H10-H13;Trastornos de la conjuntiva;VII
H15-H22;Trastornos de la esclerótica, córnea, iris y cuerpo ciliar;VII
H25-H28;Trastornos del cristalino;VII
H30-H36;Trastornos de la coroides y de la retina;VII
H40-H42;Glaucoma;VII
H46-H48;Trastornos del nervio óptico y de las vías ópticas;VII
H43-H45;Trastornos del cuerpo vítreo y del globo ocular;VII
H49-H52;Trastornos de los músculos oculares, del movimiento binocular, de la acomodación y de la refracción;VII
H53-H54;Alteraciones de la visión y ceguera;VII
H55-H59;Otros trastornos del ojo y sus anexos;VII
L00-L08;Infecciones de la piel y del tejido subcutáneo;XII
L10-L14;Trastornos flictenulares;XII
L20-L30;Dermatitis y eczema;XII
L40-L45;Trastornos papuloescamosos;XII
L50-L54;Urticaria y eritema;XII
L55-L59;Trastornos de la piel y del tejido subcutáneo relacionados con radiación;XII
L60-L75;Trastornos de las faneras;XII
L80-L99;Otros trastornos de la piel y del tejido subcutáneo;XII
O00-O08;Embarazo terminado en aborto;XV
O10-O16;Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio;XV
O20-O29;Otros trastornos maternos relacionados principalmente con el embarazo;XV
O30-O48;Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto;XV
O60-O75;Complicaciones del trabajo de parto y del parto;XV
O80-O84;Parto;XV
O85-O92;Complicaciones principalmente relacionadas con el puerperio;XV
O94-O99;Otras afecciones obstétricas no clasificadas en otra parte;XV
N10-N16;Enfermedad renal tubulointersticial;XIV
N17-N19;Insuficiencia renal;XIV
N00-N08;Enfermedades glomerulares;XIV
N25-N29;Otros trastornos del riñón y del uréter;XIV
N20-N23;Litiasis urinaria;XIV
