A00-A09  Enfermedades infecciosas intestinales
A15-A19  Tuberculosis
A20-A28  Ciertas zoonosis bacterianas
A30-A49  Otras enfermedades bacterianas
A50-A64  Infecciones con modo de transmisión predominantemente sexual
A65-A69  Otras enfermedades debidas a espiroquetas
A70-A74  Otras enfermedades causadas por clamidias
A75-A79  Rickettsiosis
A80-A89  Infecciones virales del sistema nervioso central
A90-A99  Fiebres virales transmitidas por artrópodos y fiebres virales hemorrágicas
B00-B09  Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas
B15-B19  Hepatitis viral
B20-B24  Enfermedad por virus de la inmunodeficiencia humana [VIH]
B25-B34  Otras enfermedades virales
B35-B49  Micosis
B50-B64  Enfermedades debidas a protozoarios
B65-B83  Helmintiasis
B85-B89  Pediculosis, acariasis y otras infestaciones
B90-B94  Secuelas de enfermedades infecciosas y parasitarias
B95-B97  Bacterias, virus y otros agentes infecciosos
B99-B99  Otras enfermedades infecciosas
C00-C97  Tumores malignos
D00-D09  Tumores in situ
D10-D36  Tumores benignos
D37-D48  Tumores de comportamiento incierto o desconocido
D50-D53  Anemias nutricionales
D55-D59  Anemias hemolíticas
D60-D64  Anemias aplásticas y otras anemias
D65-D69  Defectos de la coagulación, púrpura y otras afecciones hemorrágicas
D70-D77  Otras enfermedades de la sangre y de los órganos hematopoyéticos
D80-D89  Ciertos trastornos que afectan el mecanismo de la inmunidad
E00-E07  Trastornos de la glándula tiroides
E10-E14  Diabetes mellitus
E15-E16  Otros trastornos de la regulación de la glucosa y de la secreción interna del páncreas
E20-E35  Trastornos de otras glándulas endocrinas
E40-E46  Desnutrición
E50-E64  Otras deficiencias nutricionales
E65-E68  Obesidad y otros tipos de hiperalimentación
E70-E90  Trastornos metabólicos
F00-F09  Trastornos mentales orgánicos, incluidos los trastornos sintomáticos
F10-F19  Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas
F20-F29  Esquizofrenia, trastornos esquizotípicos y trastornos delirantes
F30-F39  Trastornos del humor [afectivos]
F40-F48  Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos
F50-F59  Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos
F60-F69  Trastornos de la personalidad y del comportamiento en adultos
F70-F79  Retraso mental
F80-F89  Trastornos del desarrollo psicológico
F90-F98  Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia
F99-F99  Trastorno mental no especificado
G00-G09  Enfermedades inflamatorias del sistema nervioso central
G10-G13  Atrofias sistémicas que afectan principalmente el sistema nervioso central
G20-G26  Trastornos extrapiramidales y del movimiento
G30-G32  Otras enfermedades degenerativas del sistema nervioso
G35-G37  Enfermedades desmielinizantes del sistema nervioso central
G40-G47  Trastornos episódicos y paroxísticos
G50-G59  Trastornos de los nervios, de las raíces y de los plexos nerviosos
G60-G64  Polineuropatías y otros trastornos del sistema nervioso periférico
G70-G73  Enfermedades musculares y de la unión neuromuscular
G80-G83  Parálisis cerebral y otros síndromes paralíticos
G90-G99  Otros trastornos del sistema nervioso
H00-H06  Trastornos del párpado, aparato lagrimal y órbita
H10-H13  Trastornos de la conjuntiva
H15-H22  Trastornos de la esclerótica, córnea, iris y cuerpo ciliar
H25-H28  Trastornos del cristalino
H30-H36  Trastornos de la coroides y de la retina
H40-H42  Glaucoma
H43-H45  Trastornos del cuerpo vítreo y del globo ocular
